name,county,type,contact_person,phone,email,sub_county,nearest-landmark,lat,lon
Trace Kenya,Mombasa,Shelter,Paul Adhoch,722499302,info@tracekenya.org,,,,
Undugu - Children Place of Safety,Kajiado,Shelter,Buthaina Ibrahim Mnawa (Program Manager),722288615,buthaina@undugukenya.org,,,,
Wings of Compassion Rescue Homes,Nairobi,Shelter,Rev. Danshire Njoroge (Director),722169994,wingsof2012@gmail.com,,,,
Woman's Hope Center,Nairobi,Shelter,Consolata Waithaka (Director),737333741,consoandgirls@gmail.com,,,,
 CDF Kiriari Dispensary,Embu,Hospital,,,,Manyatta,Kiriari -market,-0.3994,37.47605
 St Jude's Huruma Community Health Services,Nairobi,Hospital,,,,Mathare,Kariobangi Market,-1.26174,36.87765
12 Engineers,Kiambu,Hospital,,,,Thika West, ,-1.07354,37.14413
3Kl Maternity & Nursing Home,Kajiado,Hospital,,,,Kajiado North,Ongata Ronga,-1.3757,36.72277
8Th Street Clinic,Kajiado,Hospital,,,,Kajiado North,Isinya,-1.41187,36.50854
AAR Adams Health Centre,Nairobi,Hospital,,,,Kibra,Adams,-1.30047,36.73162
AAR City Centre Clinic,Nairobi,Hospital,,,,Starehe,Nairobi,-1.28443,36.82135
AAR Clinic Sarit Centre (Westlands),Nairobi,Hospital,,,,Westlands,Nairobi,-1.2617,36.80211
AAR Eldoret,Uasin Gishu,Hospital,,,,Eldoret West,Eldoret,0.51676,35.27422
AAR Gwh Health Care Ltd,Nairobi,Hospital,,,,Dagoretti North, ,-1.29467,36.80897
AAR Health Care,Nairobi,Hospital,,,,Embakasi East,Donholm,-1.30954,36.9124
AAR Health Care-Kisumu,Kisumu,Hospital,,,,Kisumu East,Central Business District,-0.10465,34.75328
AAR Healthcare Limited (Karen),Nairobi,Hospital,,,,Langata,Great Jubilee shopping  center,-1.3408,36.75777
AAR Kariobangi Clinic,Nairobi,Hospital,,,,Ruaraka,Nairobi,-1.23625,36.96017
AAR Medical Services (Docks),Mombasa,Hospital,,,,Mvita,Mombasa,-4.06012,39.66429
AAR Mountain mall,Nairobi,Hospital,,,,Roysambu,Rosters,-1.23283,36.87403
AAR Nakuru Clinic,Nakuru,Hospital,,,,Nakuru,Nakuru Town,-0.23285,36.04388
AAR Outpatient Center Donholm,Nairobi,Hospital,,,,Embakasi East,Donholm,-1.18072,36.53169
AAR Thika out Patient Centre,Kiambu,Hospital,,,,Thika West,Wabera street opposite thika stadium zuri centre 3rd flooor,-1.03863,37.0775
AAR Thika Road Clinic,Nairobi,Hospital,,,,Roysambu,Nairobi,-1.2148,36.8665
Abakore Sub District Hospital,Wajir,Hospital,,,,Habaswein,Habaswein,0.63091,39.71226
Abandoned Child Care,Nairobi,Hospital,,,,Dagoretti South,Dagoretti Market,-1.27396,36.69119
Abba Medical Clinic,Nyeri,Hospital,,,,Nyeri South, ,-0.49793,36.99488
Abby Clinic,Nairobi,Hospital,,,,Westlands, ,-1.26379,36.74795
Abby Health Services,Kitui,Hospital,,,,Kitui Central,Kitui,-1.03669,38.0094
ABC Thange Dispensary,Makueni,Hospital,,,,Kibwezi,Thange,-2.50087,38.01595
Abdallah Dental Clinic (Barclays Plaza-Nairobi),Nairobi,Hospital,,,,Starehe,GPO,-1.28474,36.81815
Abdisamad Dispensary,Garissa,Hospital,,,,Garissa,Abdisamad,0.04883,39.65491
Abdiwaqo Dispensary,Wajir,Hospital,,,,Eldas,Eldas,2.17684,39.3362
Aberdare Health Services,Murang'a,Hospital,,,,Kigumo,Kangari,-0.765141,36.8247
Aberdare Medical & Surgical Clinic,Nyeri,Hospital,,,,Nyeri South,Othaya Town,-0.558127,36.9264
Abidha Health Centre,Siaya,Hospital,,,,Rarieda,Asembo Bay,-0.15902,34.41064
Able Medical Clinic,Kakamega,Hospital,,,,Kakamega East (Shinyalu),Shinyalu,0.22351,34.81428
Aboloi Dispensary,Busia,Hospital,,,,Teso North,Malakisi,0.65654,34.39563
Abra Health Services,Nairobi,Hospital,,,,Embakasi West,Donholm,-1.2907,36.90275
Abraham Memorial Nursing Home (Westlands),Nairobi,Hospital,,,,Westlands, ,-1.26735,36.75793
Abrahams Clinic,Kirinyaga,Hospital,,,,Kirinyaga West,Sagana,-0.40098,37.2593
Absalom Wangulu Dispensary,Kisumu,Hospital,,,,Nyando,Rabuor,-0.17013,34.84837
Abundant Life Clinic,Kisumu,Hospital,,,,Kisumu East,Kisumu Town,-0.122486,34.752132
Acacia Clinic (Kilimani),Nairobi,Hospital,,,,Dagoretti North,CBD Nbi,-1.26418,36.79893
Acacia Medical Centre (Nairobi),Nairobi,Hospital,,,,Starehe,City Market,-1.28443,36.82113
Acacia Medicare Centre,Kajiado,Hospital,,,,Kajiado North,Ngong,-1.361581,36.65714
Acc&S Kariua Dispensary,Murang'a,Hospital,,,,Kandara,Kariua,-0.83403,36.97599
Access Afya,Nairobi,Hospital,,,,Starehe,S.B Shopping Centre,-1.31085,36.8427
Access Afya Medical Centre Viwandani,Nairobi,Hospital,,,,Makadara,Nairobi,-1.30936,36.87844
Ace Africa (k) Wellness Centre,Bungoma,Hospital,,,,Bungoma South,Nearest to Tesia Supermarket,0.2456,34.256
Acef Ena Health Centre,Embu,Hospital,,,,Embu East,Ena,-0.47344,37.55271
ACK Dispensary (Isiolo),Isiolo,Hospital,,,,Isiolo,Isiolo,0.35699,37.57572
ACK Kanunga Dispensary,Kiambu,Hospital,,,,Kiambu,Kiambu Town,-1.16216,36.78138
ACK Mwingi CHBC Clinic,Kitui,Hospital,,,,Mwingi Central,Mwingi,-0.93904,38.06006
ACK Nyandarua Medical Clinic,Nyandarua,Hospital,,,,Nyandarua Central,Captain,0.03461,36.37201
ACK Tumaini Medical Clinic,Nyeri,Hospital,,,,Nyeri Central, ,-0.42082,36.95441
Acode Medical Clinic Maungu,Taita Taveta,Hospital,,,,Voi,Maungu,-3.55733,38.75037
Aculaser Institute,Nairobi,Hospital,,,,Westlands, ,-1.26237,36.82461
Adadijolle Dispensary,Wajir,Hospital,,,,Wajir North,Adadijolle,3.33436,39.45842
ADC Danisa Dispensary,Kilifi,Hospital,,,,Malindi,Lango baya,-3.05351,39.50986
Ademasajida Dispensary,Wajir,Hospital,,,,Wajir West,Griftu,1.02825,39.4885
Adenawale Dispensaty,Wajir,Hospital,,,,Wajir West,Griftu,2.1403,39.29617
Adiedo Dispensary,Homa Bay,Hospital,,,,Rachuonyo North,Adiedo Market,-0.42727,34.60247
Administration Police Dispensary (Kisumu East),Kisumu,Hospital,,,,Kisumu East,Kisumu,-0.12409,34.75813
Administration Police Senior Staff College Dispens,Makueni,Hospital,,,,Nzaui,Emali,-2.14277,37.56218
Adoma Medical Clinic,Migori,Hospital,,,,Awendo,Awendo Market Center-,-0.91634,34.52189
Adu Dispensary,Kilifi,Hospital,,,,Magarini,Malindi,-2.83976,39.98014
Adurkoit Dispensary,West Pokot,Hospital,,,,West Pokot,Kapenguria,1.35742,34.92782
Advent Med & Dentist Care Centre,Nakuru,Hospital,,,,Nakuru,Nakuru CBD,-0.28631,36.06565
Adventist Centre For Care and Support (Kilimani),Nairobi,Hospital,,,,Dagoretti North,Nairobi,-1.28899,36.80751
Afraha Maternity and Nursing Home,Nakuru,Hospital,,,,Nakuru,Near Nakuru Stadium,-0.29746,36.07421
Africa Inland Church Dispensary,Wajir,Hospital,,,,Wajir East,Wajir Police Line,1.74868,40.06798
African Divine Church-Org,Nairobi,Hospital,,,,Mathare, ,-1.24541,36.80472
African Muslim Agency Dispensary,Isiolo,Hospital,,,,Garbatula,AMA Children Home,0.52541,38.50904
African Muslim Agency- Matsangoni,Kilifi,Hospital,,,,Kilifi North,Matsangoni,-3.23366,39.55701
Afwan Medical Centre,Nairobi,Hospital,,,,Kamukunji,Eastleigh,-1.28321,36.8405
Afwein Dispensary,Garissa,Hospital,,,,Lagdera,Shantabak,0.35346,39.35608
Afwene Clinic,Garissa,Hospital,,,,Garissa, ,-0.43407,39.65269
Afya Bora Clinic (Meru South),Tharaka Nithi,Hospital,,,,Meru South,Chuka Town,-0.33367,37.64403
Afya Bora Clinic (Mutomo),Kitui,Hospital,,,,Mutomo,Mutomo Town,-1.50099,38.12479
Afya Bora Clinic (Mwea),Kirinyaga,Hospital,,,,Kirinyaga North,Kandondgu,-0.681054,37.2904
Afya Bora Clinic Karia,Kiambu,Hospital,,,,Githunguri,Kiairia,-1.10056,36.81912
Afya Bora Health Care,Nairobi,Hospital,,,,Westlands, ,-1.26779,36.75751
Afya Bora Health Clinic,Nyandarua,Hospital,,,,Nyandarua West,Kasuku,-0.13267,36.37921
Afya Bora Mc,Trans Nzoia,Hospital,,,,Trans Nzoia West,Kitale,1.01331,34.98641
Afya Bora Medical Clinic,Nakuru,Hospital,,,,Njoro,Kianjoya,-0.34365,36.05765
Afya Bora Medical Clinic (CFW Clinic Gichugu),Kirinyaga,Hospital,,,,Kirinyaga East,Gathoge,-0.524658,37.41892
Afya Bora Medical Clinic (Malindi),Kilifi,Hospital,,,,Magarini,Malindi,-2.86282,40.1482
Afya Bora Medical Clinic (Mirangine),Nyandarua,Hospital,,,,Mirangine,Mirangine,-0.176,36.24414
Afya Bora Medical Clinic (Muchagara),Kirinyaga,Hospital,,,,Kirinyaga East,Muchagara,-0.46852,37.36062
Afya Bora Medical Clinic (Nyeri South),Nyeri,Hospital,,,,Nyeri Central,Ruringu,-0.43574,36.96286
Afya Bora Medical Clinic (Turkana Central),Turkana,Hospital,,,,Turkana Central,Lodwar,3.11942,35.59954
Afya Bora Medical Clinic (Westlands),Nairobi,Hospital,,,,Westlands, ,-1.2644,36.75237
Afya Clinic,Taita Taveta,Hospital,,,,Wundanyi,Wundanyi,-3.24262,38.21918
Afya Frank Medical Clinic,Kajiado,Hospital,,,,Kajiado North,Ongata Rongai,-1.38778,36.7523
Afya Health Care,Nairobi,Hospital,,,,Roysambu,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",-1.19949,36.90172
Afya Health Services,Nyeri,Hospital,,,,Mukurweini,Mukurweini Town,-0.557562,37.0525
Afya Health System Hospital,Homa Bay,Hospital,,,,Homa Bay,Homa Bay Town,-0.53,34.46
Afya House Dispensary,Nairobi,Hospital,,,,Kibra,Community,-1.29107,36.81502
Afya Link Ngurubani Clinic,Kirinyaga,Hospital,,,,Kirinyaga South,Ngurubani,-0.68405,37.3581
Afya Medical Centre,Mombasa,Hospital,,,,Kisauni,Bamburi,-4.00659,39.70123
Afya Medical Clinic,Kiambu,Hospital,,,,Thika West,Gachororo,-1.07444,36.9855
Afya Medical Clinic,Meru,Hospital,,,,Buuri, ,0.14007,37.53345
Afya Medical Clinic (Dandora),Nairobi,Hospital,,,,Embakasi North,Dandora 41,-1.25143,36.90057
Afya Medical Clinic (Garissa),Garissa,Hospital,,,,Garissa,Garissa,-0.45654,39.63904
Afya Medical Clinic (Gilgil),Nakuru,Hospital,,,,Gilgil,In Mbaruk shopping Centre,-0.49987,36.32373
Afya Medical Clinic (Gwakungu),Nyandarua,Hospital,,,,Nyandarua North,Gwakungu,0.0165,36.49255
Afya Medical Clinic (Mbaruk),Nakuru,Hospital,,,,Gilgil,Kasambara Shopping Centre near Lady Anne Secondary School,-0.35429,36.21398
Afya Medical Clinic (Meru),Meru,Hospital,,,,Imenti North, ,0.04021,37.64849
Afya Medical Clinic (Munyaka),Nyandarua,Hospital,,,,Kinangop,Munyaka,-0.68826,36.62214
Afya Medical Clinic (Muranga North),Murang'a,Hospital,,,,Mathioya,Kihoya,-0.647721,36.9012
Afya Medical Clinic (Nakuru),Nakuru,Hospital,,,,Nakuru,Near Flamingo Nursery School,-0.29448,36.09211
Afya Medical Clinic (Nyeri North),Nyeri,Hospital,,,,Mathira East,Karatina,-0.48076,37.12301
Afya Medical Clinic (Nyeri South),Nyeri,Hospital,,,,Mukurweini,Ngamwa,-0.63244,37.12623
Afya Medical Clinic and Nursing Home (Wajir East),Wajir,Hospital,,,,Wajir East,Wajir,1.74477,40.05697
Afya Medical Clinic(Dagoretti Market),Kiambu,Hospital,,,,Kikuyu,Dagoretti Market,-1.28628,36.68569
Afya Medical Clinic(Mwingi),Kitui,Hospital,,,,Mwingi Central,Mwingi Town,-0.94306,38.06352
Afya Medical Laboratory,Meru,Hospital,,,,Buuri,Kiirua Market,0.12265,37.55971
Afya Medicare Clinic,Nyeri,Hospital,,,,Kieni East,Soweto,-0.20607,37.09822
Afya Medicare Clinic (Wajir East),Wajir,Hospital,,,,Wajir East,Wajir,1.75129,40.05686
Afya Njema Clinic,Machakos,Hospital,,,,Athi River,mavoko,-1.4536,36.98832
Afya Njema Medical Clinic,Nakuru,Hospital,,,,Rongai,Rongai,-0.20643,35.84816
Afya Njema Medical Clinic (Nyeri North),Nyeri,Hospital,,,,Kieni East,Narumoru,-0.1697,37.02112
Afya Nursing Home (Moyale),Marsabit,Hospital,,,,Moyale,Moyale,3.52265,39.0586
Afya Yako Medical Clinic,Nyeri,Hospital,,,,Nyeri Central, ,-0.42228,37.0
Afya Yetu Medical Centre,Kajiado,Hospital,,,,Kajiado North,Ongata Rongai,-1.39246,36.75079
Afyafirst Medical Center,Mombasa,Hospital,,,,Mvita,Majengo,-4.04277,39.66018
Afyamax Medical & Centre Dental,Nairobi,Hospital,,,,Roysambu,next to success stage zimmerman,-1.20694,36.89414
Aga Khan,Laikipia,Hospital,,,,Laikipia West,Nyahururu,0.04165,36.36212
Aga Khan Clinic,Laikipia,Hospital,,,,Laikipia Central,Nanyuki Town,0.0101,37.07546
Aga Khan Clinic ( Ngong  Rd Prestige),Nairobi,Hospital,,,,Kibra, ,-1.28321,36.8405
Aga Khan Clinic (Eastleigh),Nairobi,Hospital,,,,Kamukunji,Near former KBS General Waruige street,-1.27911,36.84887
Aga Khan Clinic Kitengela,Kajiado,Hospital,,,,Kajiado North,Kitengela,-1.47256,36.95456
Aga Khan Greenspam Medical Centre,Nairobi,Hospital,,,,Embakasi West,Donholm,-1.29923,36.90131
Aga Khan Health Service Bungoma Centre,Bungoma,Hospital,,,,Bungoma South,Bungoma,0.54743,34.56167
Aga Khan Hospital,Nairobi,Hospital,,,,Westlands, ,-1.262231,36.817897
Aga Khan Hospital (Juja),Kiambu,Hospital,,,,Ruiru,Juja town,-1.04323,36.89654
Aga Khan Hospital (Kisumu),Kisumu,Hospital,,,,Kisumu East,Kisumu,-0.09937,34.75621
Aga Khan Hospital (Mombasa),Mombasa,Hospital,,,,Mvita,Mombasa,-4.07012,39.67003
Aga Khan MC Kitale,Trans Nzoia,Hospital,,,,Trans Nzoia West,Kitale,1.0129,35.00263
Aga Khan Medical Centre Kericho,Kericho,Hospital,,,,Kericho,Kericho Town,-0.37218,35.28087
Aga Khan University Hospital - Embu,Embu,Hospital,,,,Manyatta,Embu,-0.53674,37.4517
Aga Khan University Hospital (Buruburu),Nairobi,Hospital,,,,Makadara,Nairobi,-1.28254,36.8796
Aga Khan University Hospital (Capital Centre),Nairobi,Hospital,,,,Starehe,Capital Centre,-1.31661,36.83386
Aga Khan University Hospital Clinic (Naivasha),Nakuru,Hospital,,,,Naivasha, ,-0.71459,36.43354
Aga Khan University Hospital Kiambu Clinic,Kiambu,Hospital,,,,Kiambu,Kiambu Town,-1.17195,36.82934
Aga Khan University Hospital -New Machakos Medical,Machakos,Hospital,,,,Machakos,Machakos Town,-1.51993,37.26969
Aga Khan University Hospital- Nyeri Medical Centre,Nyeri,Hospital,,,,Nyeri Central,Nyeri Town,-0.025333,37.094
Aga Khan University Hospital O/R Clinic,Kajiado,Hospital,,,,Kajiado North,Ongata Rongai,-1.38778,36.7523
Agakhan Kisii,Kisii,Hospital,,,,Kisii Central,Kisii Municipal Mkt,-0.4047,34.46258
Agakhan Medical Centre,Nakuru,Hospital,,,,Nakuru,Nakuru Nakumatt,-0.28651,36.06348
Agape Medical Services,Murang'a,Hospital,,,,Kigumo,Karinga,-0.789993,36.917
Agawo Dispensary,Homa Bay,Hospital,,,,Rachuonyo South,Sikri,-0.46748,34.7874
Agc Baby Health Centre,Nakuru,Hospital,,,,Rongai,Nakuru Town,-0.25955,35.9785
Agenga Dispensary,Migori,Hospital,,,,Nyatike,Agenga,-0.91877,34.23407
Agenga Dispensary (Samia),Busia,Hospital,,,,Samia,Mulukhoni Market,0.25266,34.07067
Agha Khan University Hospital (Kikuyu Medical Centre),Kiambu,Hospital,,,,Kikuyu,Kikuyu,-1.24577,36.66211
Agma Clinic,Vihiga,Hospital,,,,Hamisi,Shiru,0.15523,34.91108
Agro Chemical Dispensary,Kisumu,Hospital,,,,Muhoroni,Muhoroni Township Market,0.0,35.0
Aguthi Dispensary,Nyeri,Hospital,,,,Tetu,Gititu,-0.54185,37.02399
Ahadi Maternity Services,Kiambu,Hospital,,,,Lari,Lari,-1.00341,36.74133
Ahadi Medical Clinic,Kilifi,Hospital,,,,Kaloleni,Mariakani,-3.83283,39.4514
Ahero County Hospital,Kisumu,Hospital,,,,Nyando,Ahero,-0.17321,34.92367
Ahero Medical Centre,Kisumu,Hospital,,,,Nyando,Ahero,-0.17296,34.92412
AHF Soko Clinic,Mombasa,Hospital,,,,Kisauni,Kongowea,-4.04153,39.68325
Ahmadiya Hospital,Kakamega,Hospital,,,,Mumias,Mumias,0.31409,34.57571
AIC Biribiriet Dispensary,Trans Nzoia,Hospital,,,,Trans Nzoia East,Kachibora,1.02893,35.16853
AIC Dispensary (Isiolo),Isiolo,Hospital,,,,Isiolo,Isiolo,0.33828,37.57018
AIC Ebenezer,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.48535,35.74207
AIC Gituru Dispensary,Murang'a,Hospital,,,,Kandara,Githumu,-0.81464,36.8668
AIC Kalamba Dispensary,Makueni,Hospital,,,,Nzaui,Kalamba,-1.86649,37.51275
AIC Litein Mission Hospital,Kericho,Hospital,,,,Bureti,Litein,-0.58621,35.1865
AIC Liten VCT,Kericho,Hospital,,,,Bureti,Litein Town,-0.58129,35.19104
AIC Mukaa Dispensary,Makueni,Hospital,,,,Mukaa, Nunguni,-1.83442,37.32693
AIC Mununga Dispensary,Murang'a,Hospital,,,,Kigumo,Kigumo,-0.78096,36.92437
AIC Parkview Dispensary,Nakuru,Hospital,,,,Nakuru,Kipanga market,-0.31257,36.05826
AIC Zion Medical Clinic,Nairobi,Hospital,,,,Mathare, ,-1.26107,36.87213
AIC Zombe  Dispensary,Kitui,Hospital,,,,Mutitu,Mutito,-1.44564,38.24427
AIDS Health Care Foundation Parklands Clinic,Nairobi,Hospital,,,,Westlands,Next to Nakumatt Highridge,-1.25811,36.81368
Aids HealthCare Foundation Eastleigh,Nairobi,Hospital,,,,Kamukunji, ,-1.2663,36.85348
Aimon med clinic,Nairobi,Hospital,,,,Ruaraka, ,-1.24041,36.89572
Aina Onlus,Meru,Hospital,,,,Tigania West,Nchiru,0.11539,37.71327
Ainabkoi (RCEA) Health Centre,Uasin Gishu,Hospital,,,,Eldoret East,Eldoret,0.16561,35.52176
Ainamoi Dispensary,Nakuru,Hospital,,,,Kuresoi,Irongo centre,-0.55684,35.60215
Ainamoi Health Centre,Kericho,Hospital,,,,Kericho,Kericho,-0.299435,35.27442
AIPCA Mahinga Dispensary,Nyandarua,Hospital,,,,Kinangop,Fly Over Township,-0.36219,36.346
Air Port Medical Centre,Machakos,Hospital,,,,Athi River,Mlolongo,-1.39374,36.94028
Airborne No Twist Huduma Bora Clinic,Kirinyaga,Hospital,,,,Kirinyaga East, ,-0.43029,37.3092
Airport Dispensary (Kisumu),Kisumu,Hospital,,,,Kisumu West,Kisumu,-0.07331,34.73359
Airport View Medical Clinic,Mombasa,Hospital,,,,Changamwe,Mombasa,-4.02982,39.6125
Airstrip Medical Clinic (Moyale),Marsabit,Hospital,,,,Moyale,Moyale,3.5234,39.0486
Airtech Medical Clinic,Kajiado,Hospital,,,,Kajiado North,Ongata Rongai,-1.45336,36.65985
Aiyebo Dispensary,Baringo,Hospital,,,,Baringo North,Kabartonjo,0.65783,35.80768
Ajam VCT,Kajiado,Hospital,,,,Kajiado North,Kiserian,-1.44125,36.69003
Ajawa Health Centre,Wajir,Hospital,,,,Wajir North,Ajawa,2.96213,39.69098
Aka Khan  Medical Clinic,Trans Nzoia,Hospital,,,,Trans Nzoia West,Kitale,1.01212,35.007
Akachiu Health Centre,Meru,Hospital,,,,Igembe South,Kanuni Market,0.18318,37.95661
Akado Dispensary,Homa Bay,Hospital,,,,Mbita,Mbita,-0.44261,34.22513
Akala Health Centre,Siaya,Hospital,,,,Gem,Akala Market,0.05961,34.42139
Akemo Medical Clinic,Mombasa,Hospital,,,,Likoni,Mombasa,-4.08743,39.65945
Akemo Nursing Home,Narok,Hospital,,,,Trans Mara West - Dikirr,Nyangusu,-0.93404,34.84508
Akicha Medical Services,Turkana,Hospital,,,,Turkana Central,Lodwar,3.10973,35.60969
Akichelesit Dispensary,Busia,Hospital,,,,Teso North,Angurai,0.69133,34.34332
Akidiva Kehancha Outpatient Clinic,Migori,Hospital,,,,Kuria West,Kehancha Township,-1.19707,34.61838
Akiriamasi Dispensary,Busia,Hospital,,,,Teso South, ,0.54572,34.21068
Akorian Dispensary,Baringo,Hospital,,,,Baringo North, ,0.62234,35.90683
Akshar Nursing Home,Kiambu,Hospital,,,,Kikuyu,Kikuyu Township,-1.2486,36.66343
Akwichatis Health Centre,Baringo,Hospital,,,,East Pokot, ,1.0015,36.23617
Al - Azhar Medical Clinic Centre,Wajir,Hospital,,,,Wajir East,Wajir,1.75741,40.06809
Al - Bushra Medical Centre,Wajir,Hospital,,,,Wajir East,Wajir Cereal Board,1.75101,40.05594
Al - Hayat Medicare,Wajir,Hospital,,,,Wajir East,Wajir,1.74546,40.0578
Al - Nasri Medical Care,Wajir,Hospital,,,,Wajir East,Township Primary School,1.74395,40.05675
Al Amin Medical Clinic,Garissa,Hospital,,,,Garissa, ,-0.44251,39.64477
Al Amin Nursing Home,Nairobi,Hospital,,,,Kamukunji,Garissa Lodge,-1.27144,36.84545
Al -Arbrar Medical Clinic,Samburu,Hospital,,,,Samburu Central,Maralal,1.09575,36.6982
Al Azhar Medical Clinic,Mombasa,Hospital,,,,Mvita, ,-4.05469,39.66462
Al Farooq Hospital,Mombasa,Hospital,,,,Mvita,Sega market - Mombasa,-4.04899,39.66513
Al Iklas Nursing Home,Garissa,Hospital,,,,Garissa,Medina,-0.43733,39.65465
AL Nur Medical Clinic & Laboratory,Kisumu,Hospital,,,,Kisumu East,Stage Market,-0.10131,34.76148
Al Qudus Clinic,Garissa,Hospital,,,,Garissa, ,-0.42807,39.65069
Al Riyadh Medical Clinic,Mombasa,Hospital,,,,Changamwe,Mombasa,-4.02498,39.62522
Al-Agsa Medical Clinic,Mombasa,Hospital,,,,Mvita,Mombasa,-4.04328,39.66141
Alakara Medical Clinic,Turkana,Hospital,,,,Turkana West,Lokichoggio,4.24126,34.3986
Alale (AIC) Health Centre,West Pokot,Hospital,,,,North Pokot,Makutano,2.26698,35.02813
Alale Health Centre,West Pokot,Hospital,,,,North Pokot,Makutano,2.25005,35.02779
Al-Amin Medical Clinic,Kilifi,Hospital,,,,Malindi,Malindi,-3.21457,40.11477
Al-Ansar Medical Clinic,Mandera,Hospital,,,,Mandera East,Mandera,3.93993,41.85313
Al-Aqsa Medical Clinic,Garissa,Hospital,,,,Garissa,Garissa,-0.43754,39.64364
Albilal Medical Clinic (Moyale),Marsabit,Hospital,,,,Moyale,Moyale,3.5254,39.0584
Al-Bir Medical Centre,Mombasa,Hospital,,,,Kisauni,Mombasa,-4.05228,39.67372
Al-Bir Medical Centre (Kilindini),Mombasa,Hospital,,,,Changamwe,Mombasa,-4.03019,39.62144
Aldai Medical Services,Nandi,Hospital,,,,Nandi East,Nandi Hills,0.10507,35.18089
Alfa Clinic,Nyamira,Hospital,,,,Borabu,Manga,-0.82872,35.02643
Alfalah Nursing Home,Isiolo,Hospital,,,,Isiolo,Isiolo,0.34842,37.58112
Al-Fallah Medical Clinic,Nairobi,Hospital,,,,Kamukunji, ,-1.27173,36.85126
