name,county,sub_county,nearest-landmark,lat,lon,type
Acacia Clinic (Kilimani),Nairobi,Dagoretti North,CBD Nbi,-1.26418,36.79893,Hospital
Acacia Medical Centre (Nairobi),Nairobi,Starehe,City Market,-1.28443,36.82113,Hospital
Acacia Medicare Centre,Kajiado,Kajiado North,Ngong,-1.361581,36.65714,Hospital
Acc&S Kariua Dispensary,Murang'a,Kandara,Kariua,-0.83403,36.97599,Hospital
Access Afya,Nairobi,Starehe,S.B Shopping Centre,-1.31085,36.8427,Hospital
Access Afya Medical Centre Viwandani,Nairobi,Makadara,Nairobi,-1.30936,36.87844,Hospital
Ace Africa (k) Wellness Centre,Bungoma,Bungoma South,Nearest to Tesia Supermarket,0.2456,34.256,Hospital
Acef Ena Health Centre,Embu,Embu East,Ena,-0.47344,37.55271,Hospital
ACK Dispensary (Isiolo),Isiolo,Isiolo,Isiolo,0.35699,37.57572,Hospital
ACK Kanunga Dispensary,Kiambu,Kiambu,Kiambu Town,-1.16216,36.78138,Hospital
ACK Mwingi CHBC Clinic,Kitui,Mwingi Central,Mwingi,-0.93904,38.06006,Hospital
ACK Nyandarua Medical Clinic,Nyandarua,Nyandarua Central,Captain,0.03461,36.37201,Hospital
ACK Tumaini Medical Clinic,Nyeri,Nyeri Central, ,-0.42082,36.95441,Hospital
Acode Medical Clinic Maungu,Taita Taveta,Voi,Maungu,-3.55733,38.75037,Hospital
Aculaser Institute,Nairobi,Westlands, ,-1.26237,36.82461,Hospital
Adadijolle Dispensary,Wajir,Wajir North,Adadijolle,3.33436,39.45842,Hospital
ADC Danisa Dispensary,Kilifi,Malindi,Lango baya,-3.05351,39.50986,Hospital
Ademasajida Dispensary,Wajir,Wajir West,Griftu,1.02825,39.4885,Hospital
Adenawale Dispensaty,Wajir,Wajir West,Griftu,2.1403,39.29617,Hospital
Adiedo Dispensary,Homa Bay,Rachuonyo North,Adiedo Market,-0.42727,34.60247,Hospital
Administration Police Dispensary (Kisumu East),Kisumu,Kisumu East,Kisumu,-0.12409,34.75813,Hospital
Administration Police Senior Staff College Dispens,Makueni,Nzaui,Emali,-2.14277,37.56218,Hospital
Adoma Medical Clinic,Migori,Awendo,Awendo Market Center-,-0.91634,34.52189,Hospital
Adu Dispensary,Kilifi,Magarini,Malindi,-2.83976,39.98014,Hospital
Adurkoit Dispensary,West Pokot,West Pokot,Kapenguria,1.35742,34.92782,Hospital
Advent Med & Dentist Care Centre,Nakuru,Nakuru,Nakuru CBD,-0.28631,36.06565,Hospital
Adventist Centre For Care and Support (Kilimani),Nairobi,Dagoretti North,Nairobi,-1.28899,36.80751,Hospital
Afraha Maternity and Nursing Home,Nakuru,Nakuru,Near Nakuru Stadium,-0.29746,36.07421,Hospital
Africa Inland Church Dispensary,Wajir,Wajir East,Wajir Police Line,1.74868,40.06798,Hospital
African Divine Church-Org,Nairobi,Mathare, ,-1.24541,36.80472,Hospital
African Muslim Agency Dispensary,Isiolo,Garbatula,AMA Children Home,0.52541,38.50904,Hospital
African Muslim Agency- Matsangoni,Kilifi,Kilifi North,Matsangoni,-3.23366,39.55701,Hospital
Afwan Medical Centre,Nairobi,Kamukunji,Eastleigh,-1.28321,36.8405,Hospital
Afwein Dispensary,Garissa,Lagdera,Shantabak,0.35346,39.35608,Hospital
Afwene Clinic,Garissa,Garissa, ,-0.43407,39.65269,Hospital
Afya Bora Clinic (Meru South),Tharaka Nithi,Meru South,Chuka Town,-0.33367,37.64403,Hospital
Afya Bora Clinic (Mutomo),Kitui,Mutomo,Mutomo Town,-1.50099,38.12479,Hospital
Afya Bora Clinic (Mwea),Kirinyaga,Kirinyaga North,Kandondgu,-0.681054,37.2904,Hospital
Afya Bora Clinic Karia,Kiambu,Githunguri,Kiairia,-1.10056,36.81912,Hospital
Afya Bora Health Care,Nairobi,Westlands, ,-1.26779,36.75751,Hospital
Afya Bora Health Clinic,Nyandarua,Nyandarua West,Kasuku,-0.13267,36.37921,Hospital
Afya Bora Mc,Trans Nzoia,Trans Nzoia West,Kitale,1.01331,34.98641,Hospital
Afya Bora Medical Clinic,Nakuru,Njoro,Kianjoya,-0.34365,36.05765,Hospital
Afya Bora Medical Clinic (CFW Clinic Gichugu),Kirinyaga,Kirinyaga East,Gathoge,-0.524658,37.41892,Hospital
Afya Bora Medical Clinic (Malindi),Kilifi,Magarini,Malindi,-2.86282,40.1482,Hospital
Afya Bora Medical Clinic (Mirangine),Nyandarua,Mirangine,Mirangine,-0.176,36.24414,Hospital
Afya Bora Medical Clinic (Muchagara),Kirinyaga,Kirinyaga East,Muchagara,-0.46852,37.36062,Hospital
Afya Bora Medical Clinic (Nyeri South),Nyeri,Nyeri Central,Ruringu,-0.43574,36.96286,Hospital
Afya Bora Medical Clinic (Turkana Central),Turkana,Turkana Central,Lodwar,3.11942,35.59954,Hospital
Afya Bora Medical Clinic (Westlands),Nairobi,Westlands, ,-1.2644,36.75237,Hospital
Afya Clinic,Taita Taveta,Wundanyi,Wundanyi,-3.24262,38.21918,Hospital
Afya Frank Medical Clinic,Kajiado,Kajiado North,Ongata Rongai,-1.38778,36.7523,Hospital
Afya Health Care,Nairobi,Roysambu,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",-1.19949,36.90172,Hospital
Afya Health Services,Nyeri,Mukurweini,Mukurweini Town,-0.557562,37.0525,Hospital
Afya Health System Hospital,Homa Bay,Homa Bay,Homa Bay Town,-0.53,34.46,Hospital
Afya House Dispensary,Nairobi,Kibra,Community,-1.29107,36.81502,Hospital
Afya Link Ngurubani Clinic,Kirinyaga,Kirinyaga South,Ngurubani,-0.68405,37.3581,Hospital
Afya Medical Centre,Mombasa,Kisauni,Bamburi,-4.00659,39.70123,Hospital
Afya Medical Clinic,Kiambu,Thika West,Gachororo,-1.07444,36.9855,Hospital
Afya Medical Clinic,Meru,Buuri, ,0.14007,37.53345,Hospital
Afya Medical Clinic (Dandora),Nairobi,Embakasi North,Dandora 41,-1.25143,36.90057,Hospital
Afya Medical Clinic (Garissa),Garissa,Garissa,Garissa,-0.45654,39.63904,Hospital
Afya Medical Clinic (Gilgil),Nakuru,Gilgil,In Mbaruk shopping Centre,-0.49987,36.32373,Hospital
Afya Medical Clinic (Gwakungu),Nyandarua,Nyandarua North,Gwakungu,0.0165,36.49255,Hospital
Afya Medical Clinic (Mbaruk),Nakuru,Gilgil,Kasambara Shopping Centre near Lady Anne Secondary School,-0.35429,36.21398,Hospital
Afya Medical Clinic (Meru),Meru,Imenti North, ,0.04021,37.64849,Hospital
Afya Medical Clinic (Munyaka),Nyandarua,Kinangop,Munyaka,-0.68826,36.62214,Hospital
Afya Medical Clinic (Muranga North),Murang'a,Mathioya,Kihoya,-0.647721,36.9012,Hospital
Afya Medical Clinic (Nakuru),Nakuru,Nakuru,Near Flamingo Nursery School,-0.29448,36.09211,Hospital
Afya Medical Clinic (Nyeri North),Nyeri,Mathira East,Karatina,-0.48076,37.12301,Hospital
Afya Medical Clinic (Nyeri South),Nyeri,Mukurweini,Ngamwa,-0.63244,37.12623,Hospital
Afya Medical Clinic and Nursing Home (Wajir East),Wajir,Wajir East,Wajir,1.74477,40.05697,Hospital
Afya Medical Clinic(Dagoretti Market),Kiambu,Kikuyu,Dagoretti Market,-1.28628,36.68569,Hospital
Afya Medical Clinic(Mwingi),Kitui,Mwingi Central,Mwingi Town,-0.94306,38.06352,Hospital
Afya Medical Laboratory,Meru,Buuri,Kiirua Market,0.12265,37.55971,Hospital
Afya Medicare Clinic,Nyeri,Kieni East,Soweto,-0.20607,37.09822,Hospital
Afya Medicare Clinic (Wajir East),Wajir,Wajir East,Wajir,1.75129,40.05686,Hospital
Afya Njema Clinic,Machakos,Athi River,mavoko,-1.4536,36.98832,Hospital
Afya Njema Medical Clinic,Nakuru,Rongai,Rongai,-0.20643,35.84816,Hospital
Afya Njema Medical Clinic (Nyeri North),Nyeri,Kieni East,Narumoru,-0.1697,37.02112,Hospital
Afya Nursing Home (Moyale),Marsabit,Moyale,Moyale,3.52265,39.0586,Hospital
Afya Yako Medical Clinic,Nyeri,Nyeri Central, ,-0.42228,37.0,Hospital
Afya Yetu Medical Centre,Kajiado,Kajiado North,Ongata Rongai,-1.39246,36.75079,Hospital
Afyafirst Medical Center,Mombasa,Mvita,Majengo,-4.04277,39.66018,Hospital
Afyamax Medical & Centre Dental,Nairobi,Roysambu,next to success stage zimmerman,-1.20694,36.89414,Hospital
Aga Khan,Laikipia,Laikipia West,Nyahururu,0.04165,36.36212,Hospital
Aga Khan Clinic,Laikipia,Laikipia Central,Nanyuki Town,0.0101,37.07546,Hospital
Aga Khan Clinic ( Ngong  Rd Prestige),Nairobi,Kibra, ,-1.28321,36.8405,Hospital
Aga Khan Clinic (Eastleigh),Nairobi,Kamukunji,Near former KBS General Waruige street,-1.27911,36.84887,Hospital
Aga Khan Clinic Kitengela,Kajiado,Kajiado North,Kitengela,-1.47256,36.95456,Hospital
Aga Khan Greenspam Medical Centre,Nairobi,Embakasi West,Donholm,-1.29923,36.90131,Hospital
Aga Khan Health Service Bungoma Centre,Bungoma,Bungoma South,Bungoma,0.54743,34.56167,Hospital
Aga Khan Hospital,Nairobi,Westlands, ,-1.262231,36.817897,Hospital
Aga Khan Hospital (Juja),Kiambu,Ruiru,Juja town,-1.04323,36.89654,Hospital
Aga Khan Hospital (Kisumu),Kisumu,Kisumu East,Kisumu,-0.09937,34.75621,Hospital
Aga Khan Hospital (Mombasa),Mombasa,Mvita,Mombasa,-4.07012,39.67003,Hospital
Aga Khan MC Kitale,Trans Nzoia,Trans Nzoia West,Kitale,1.0129,35.00263,Hospital
Aga Khan Medical Centre Kericho,Kericho,Kericho,Kericho Town,-0.37218,35.28087,Hospital
Aga Khan University Hospital - Embu,Embu,Manyatta,Embu,-0.53674,37.4517,Hospital
Aga Khan University Hospital (Buruburu),Nairobi,Makadara,Nairobi,-1.28254,36.8796,Hospital
Aga Khan University Hospital (Capital Centre),Nairobi,Starehe,Capital Centre,-1.31661,36.83386,Hospital
Aga Khan University Hospital Clinic (Naivasha),Nakuru,Naivasha, ,-0.71459,36.43354,Hospital
Aga Khan University Hospital Kiambu Clinic,Kiambu,Kiambu,Kiambu Town,-1.17195,36.82934,Hospital
Aga Khan University Hospital -New Machakos Medical,Machakos,Machakos,Machakos Town,-1.51993,37.26969,Hospital
Aga Khan University Hospital- Nyeri Medical Centre,Nyeri,Nyeri Central,Nyeri Town,-0.025333,37.094,Hospital
Aga Khan University Hospital O/R Clinic,Kajiado,Kajiado North,Ongata Rongai,-1.38778,36.7523,Hospital
Agakhan Kisii,Kisii,Kisii Central,Kisii Municipal Mkt,-0.4047,34.46258,Hospital
Agakhan Medical Centre,Nakuru,Nakuru,Nakuru Nakumatt,-0.28651,36.06348,Hospital
Agape Medical Services,Murang'a,Kigumo,Karinga,-0.789993,36.917,Hospital
Agawo Dispensary,Homa Bay,Rachuonyo South,Sikri,-0.46748,34.7874,Hospital
Agc Baby Health Centre,Nakuru,Rongai,Nakuru Town,-0.25955,35.9785,Hospital
Agenga Dispensary,Migori,Nyatike,Agenga,-0.91877,34.23407,Hospital
Agenga Dispensary (Samia),Busia,Samia,Mulukhoni Market,0.25266,34.07067,Hospital
Agha Khan University Hospital (Kikuyu Medical Centre),Kiambu,Kikuyu,Kikuyu,-1.24577,36.66211,Hospital
Agma Clinic,Vihiga,Hamisi,Shiru,0.15523,34.91108,Hospital
Agro Chemical Dispensary,Kisumu,Muhoroni,Muhoroni Township Market,0.0,35.0,Hospital
Aguthi Dispensary,Nyeri,Tetu,Gititu,-0.54185,37.02399,Hospital
Ahadi Maternity Services,Kiambu,Lari,Lari,-1.00341,36.74133,Hospital
Ahadi Medical Clinic,Kilifi,Kaloleni,Mariakani,-3.83283,39.4514,Hospital
Ahero County Hospital,Kisumu,Nyando,Ahero,-0.17321,34.92367,Hospital
Ahero Medical Centre,Kisumu,Nyando,Ahero,-0.17296,34.92412,Hospital
AHF Soko Clinic,Mombasa,Kisauni,Kongowea,-4.04153,39.68325,Hospital
Ahmadiya Hospital,Kakamega,Mumias,Mumias,0.31409,34.57571,Hospital
AIC Biribiriet Dispensary,Trans Nzoia,Trans Nzoia East,Kachibora,1.02893,35.16853,Hospital
AIC Dispensary (Isiolo),Isiolo,Isiolo,Isiolo,0.33828,37.57018,Hospital
AIC Ebenezer,Baringo,Baringo Central,Kabarnet,0.48535,35.74207,Hospital
AIC Gituru Dispensary,Murang'a,Kandara,Githumu,-0.81464,36.8668,Hospital
AIC Kalamba Dispensary,Makueni,Nzaui,Kalamba,-1.86649,37.51275,Hospital
AIC Litein Mission Hospital,Kericho,Bureti,Litein,-0.58621,35.1865,Hospital
AIC Liten VCT,Kericho,Bureti,Litein Town,-0.58129,35.19104,Hospital
AIC Mukaa Dispensary,Makueni,Mukaa, Nunguni,-1.83442,37.32693,Hospital
AIC Mununga Dispensary,Murang'a,Kigumo,Kigumo,-0.78096,36.92437,Hospital
AIC Parkview Dispensary,Nakuru,Nakuru,Kipanga market,-0.31257,36.05826,Hospital
AIC Zion Medical Clinic,Nairobi,Mathare, ,-1.26107,36.87213,Hospital
AIC Zombe  Dispensary,Kitui,Mutitu,Mutito,-1.44564,38.24427,Hospital
AIDS Health Care Foundation Parklands Clinic,Nairobi,Westlands,Next to Nakumatt Highridge,-1.25811,36.81368,Hospital
Aids HealthCare Foundation Eastleigh,Nairobi,Kamukunji, ,-1.2663,36.85348,Hospital
Aimon med clinic,Nairobi,Ruaraka, ,-1.24041,36.89572,Hospital
Aina Onlus,Meru,Tigania West,Nchiru,0.11539,37.71327,Hospital
Ainabkoi (RCEA) Health Centre,Uasin Gishu,Eldoret East,Eldoret,0.16561,35.52176,Hospital
Ainamoi Dispensary,Nakuru,Kuresoi,Irongo centre,-0.55684,35.60215,Hospital
Ainamoi Health Centre,Kericho,Kericho,Kericho,-0.299435,35.27442,Hospital
AIPCA Mahinga Dispensary,Nyandarua,Kinangop,Fly Over Township,-0.36219,36.346,Hospital
Air Port Medical Centre,Machakos,Athi River,Mlolongo,-1.39374,36.94028,Hospital
Airborne No Twist Huduma Bora Clinic,Kirinyaga,Kirinyaga East, ,-0.43029,37.3092,Hospital
Airport Dispensary (Kisumu),Kisumu,Kisumu West,Kisumu,-0.07331,34.73359,Hospital
Airport View Medical Clinic,Mombasa,Changamwe,Mombasa,-4.02982,39.6125,Hospital
Airstrip Medical Clinic (Moyale),Marsabit,Moyale,Moyale,3.5234,39.0486,Hospital
Airtech Medical Clinic,Kajiado,Kajiado North,Ongata Rongai,-1.45336,36.65985,Hospital
Aiyebo Dispensary,Baringo,Baringo North,Kabartonjo,0.65783,35.80768,Hospital
Ajam VCT,Kajiado,Kajiado North,Kiserian,-1.44125,36.69003,Hospital
Ajawa Health Centre,Wajir,Wajir North,Ajawa,2.96213,39.69098,Hospital
Aka Khan  Medical Clinic,Trans Nzoia,Trans Nzoia West,Kitale,1.01212,35.007,Hospital
Akachiu Health Centre,Meru,Igembe South,Kanuni Market,0.18318,37.95661,Hospital
Akado Dispensary,Homa Bay,Mbita,Mbita,-0.44261,34.22513,Hospital
Akala Health Centre,Siaya,Gem,Akala Market,0.05961,34.42139,Hospital
Akemo Medical Clinic,Mombasa,Likoni,Mombasa,-4.08743,39.65945,Hospital
Akemo Nursing Home,Narok,Trans Mara West - Dikirr,Nyangusu,-0.93404,34.84508,Hospital
Akicha Medical Services,Turkana,Turkana Central,Lodwar,3.10973,35.60969,Hospital
Akichelesit Dispensary,Busia,Teso North,Angurai,0.69133,34.34332,Hospital
Akidiva Kehancha Outpatient Clinic,Migori,Kuria West,Kehancha Township,-1.19707,34.61838,Hospital
Akiriamasi Dispensary,Busia,Teso South, ,0.54572,34.21068,Hospital
Akorian Dispensary,Baringo,Baringo North, ,0.62234,35.90683,Hospital
Akshar Nursing Home,Kiambu,Kikuyu,Kikuyu Township,-1.2486,36.66343,Hospital
Akwichatis Health Centre,Baringo,East Pokot, ,1.0015,36.23617,Hospital
Al - Azhar Medical Clinic Centre,Wajir,Wajir East,Wajir,1.75741,40.06809,Hospital
Al - Bushra Medical Centre,Wajir,Wajir East,Wajir Cereal Board,1.75101,40.05594,Hospital
Al - Hayat Medicare,Wajir,Wajir East,Wajir,1.74546,40.0578,Hospital
Al - Nasri Medical Care,Wajir,Wajir East,Township Primary School,1.74395,40.05675,Hospital
Al Amin Medical Clinic,Garissa,Garissa, ,-0.44251,39.64477,Hospital
Al Amin Nursing Home,Nairobi,Kamukunji,Garissa Lodge,-1.27144,36.84545,Hospital
Al -Arbrar Medical Clinic,Samburu,Samburu Central,Maralal,1.09575,36.6982,Hospital
Al Azhar Medical Clinic,Mombasa,Mvita, ,-4.05469,39.66462,Hospital
Al Farooq Hospital,Mombasa,Mvita,Sega market - Mombasa,-4.04899,39.66513,Hospital
Al Iklas Nursing Home,Garissa,Garissa,Medina,-0.43733,39.65465,Hospital
AL Nur Medical Clinic & Laboratory,Kisumu,Kisumu East,Stage Market,-0.10131,34.76148,Hospital
Al Qudus Clinic,Garissa,Garissa, ,-0.42807,39.65069,Hospital
Al Riyadh Medical Clinic,Mombasa,Changamwe,Mombasa,-4.02498,39.62522,Hospital
Al-Agsa Medical Clinic,Mombasa,Mvita,Mombasa,-4.04328,39.66141,Hospital
Alakara Medical Clinic,Turkana,Turkana West,Lokichoggio,4.24126,34.3986,Hospital
Alale (AIC) Health Centre,West Pokot,North Pokot,Makutano,2.26698,35.02813,Hospital
Alale Health Centre,West Pokot,North Pokot,Makutano,2.25005,35.02779,Hospital
Al-Amin Medical Clinic,Kilifi,Malindi,Malindi,-3.21457,40.11477,Hospital
Al-Ansar Medical Clinic,Mandera,Mandera East,Mandera,3.93993,41.85313,Hospital
Al-Aqsa Medical Clinic,Garissa,Garissa,Garissa,-0.43754,39.64364,Hospital
Albilal Medical Clinic (Moyale),Marsabit,Moyale,Moyale,3.5254,39.0584,Hospital
Al-Bir Medical Centre,Mombasa,Kisauni,Mombasa,-4.05228,39.67372,Hospital
Al-Bir Medical Centre (Kilindini),Mombasa,Changamwe,Mombasa,-4.03019,39.62144,Hospital
Aldai Medical Services,Nandi,Nandi East,Nandi Hills,0.10507,35.18089,Hospital
Alfa Clinic,Nyamira,Borabu,Manga,-0.82872,35.02643,Hospital
Alfalah Nursing Home,Isiolo,Isiolo,Isiolo,0.34842,37.58112,Hospital
Al-Fallah Medical Clinic,Nairobi,Kamukunji, ,-1.27173,36.85126,Hospital
Al-Faruq Dispensary,Garissa,Garissa,Soko Ngombe,-0.4422,39.65883,Hospital
Al-Faruq Medical Clinic,Garissa,Garissa, ,-0.43834,39.65516,Hospital
Al-Firdaus Health Care,Mombasa,Mvita,Majengo,-4.04535,39.66511,Hospital
Al-Furaqan Clinic,Wajir,Wajir East,Wajir,1.74871,40.05859,Hospital
Al-Gadhir Clinic,Nairobi,Dagoretti North,Riruta,-1.28293,36.74322,Hospital
Algadir Medical Clinic,Nakuru,Nakuru,Near Afraha stadium,-0.29912,36.06766,Hospital
Alhamdu Medical Clinic,Wajir,Habaswein,Habaswein Trading Centre,1.01591,39.49084,Hospital
Al-Hamdu Medical Clinic,Wajir,Wajir East,Wajir,1.75129,40.05686,Hospital
Al-Haqq Medical Clinic,Wajir,Wajir East,Wajir,1.74691,40.05662,Hospital
Alhidaya Medical Clinic,Wajir,Habaswein,Habaswein Trading Centre,1.01708,39.49343,Hospital
Alice Nursing Home,Nairobi,Embakasi South,Nairobi- Mukuru,-1.31699,36.8865,Hospital
Alika Medical Clinic,Kiambu,Kikuyu,Wangige,-1.21849,36.71338,Hospital
Aliki Medical Centre,Kiambu,Kiambu,Karuri,-1.1733,36.7584,Hospital
Alikune Dispensary,Garissa,Dadaab,Dadaab,-0.2067,40.0079,Hospital
Alimaow Health Centre,Wajir,Wajir East,Wajir Town,1.73461,40.04766,Hospital
Alinjugur Health Centre,Garissa,Fafi,Hagadera,-0.03048,40.45615,Hospital
All Care Medical Centre,Nairobi,Langata,At Karen shopping centre,-1.3234,36.70736,Hospital
All Day Medical Clinic,Murang'a,Mathioya,Kiriaini,-0.624374,36.8481,Hospital
All Saints Musaa,Kakamega,Kakamega Central (Lurambi),Eshisiru Mkt,0.293967,34.6629,Hospital
Alliance Clinic,Vihiga,Sabatia,Chavakali,0.11834,34.73399,Hospital
Alliance Medical Centre,Nairobi,Kamukunji,Garissa Lodge Market,-1.27943,36.85035,Hospital
Alliance Medical Clinic,Garissa,Garissa, ,-0.45358,39.64202,Hospital
Alliance Medical Clinic (Kirinyaga),Kirinyaga,Kirinyaga West, ,-0.56087,37.18919,Hospital
Al-Maaruf Clinic,Wajir,Wajir East,Wajir,1.74985,40.05763,Hospital
Almacy Medical  Clinic,Siaya,Bondo,Usenge,-0.06349,34.06152,Hospital
Al-Maqdis ENT Clinic,Garissa,Garissa,Garissa,-0.44803,39.64778,Hospital
Almed Health Products,Meru,Imenti North,Meru,3.93029,41.8686,Hospital
Alms House Dispensary,Mombasa,Mvita,Majendo,-4.03733,39.65704,Hospital
Al-Mumtaz Medical Clinic,Garissa,Garissa,Garissa Town,-0.47455,39.65443,Hospital
Al-Mustaqim Clinic,Wajir,Wajir East,Wajir,1.75129,40.05686,Hospital
Alnas Medical Clinic,Mandera,Mandera East,Mandera,3.93456,41.85067,Hospital
Alnasar Medical Clinic,Garissa,Garissa, ,-0.44308,39.64489,Hospital
Alpha Community Health Clinic (Migori),Migori,Migori,Oruba Estate Migori Town,-1.06888,34.46355,Hospital
Alpha Dental Services,Trans Nzoia,Trans Nzoia West,Kitale,1.01627,35.00395,Hospital
Alpha Family Health Care,Nyeri,Tetu,Giakanja,-0.49212,36.96777,Hospital
Alpha Medical Agency,Vihiga,Sabatia,Chavakali Market,0.116212,34.72601,Hospital
Alpha Medical Clinic,Samburu,Samburu Central,Maralal Town,1.0997,36.6993,Hospital
Alpha Medical Clinic (Kambu),Makueni,Kibwezi,Kambu town,-2.5961,38.07333,Hospital
Alpha Medical Clinic (Koibatek),Baringo,Koibatek,Eldama Ravine,0.04847,35.72456,Hospital
Alpha Medical Clinic Mile Tisa,Kajiado,Kajiado Central,Mile Tisa,-2.43682,36.84749,Hospital
Alpha Nursing Home,Machakos,Masinga,Kaewa,-0.93971,37.6759,Hospital
Alphine Dental Centre (Kencom Hse),Nairobi,Starehe, ,-1.28579,36.82471,Hospital
Alphine Health Care Centre,Bungoma,Bungoma South,St. Damiano Hospital,0.60866,34.65489,Hospital
Alphond Medical Centre,Kakamega,Mumias West,Nabongo,0.33465,34.48798,Hospital
Al-Ramah Healthcare,Garissa,Garissa, ,-0.4406,39.6581,Hospital
Al-Siha Nursing Home,Mandera,Mandera East,Mandera,3.93507,41.85256,Hospital
Alum Beach Dispensary,Homa Bay,Rachuonyo North,Kandiege Market,-0.44673,34.48747,Hospital
Aluor Mission Health Centre,Siaya,Gem,Aluor Market,0.01047,34.465,Hospital
Alupe Sub-District Hospital,Busia,Teso South,Busia,0.49723,34.13385,Hospital
Ama (Africa Muslim Agency) Clinic,Kiambu,Thika West,Thika,-1.05914,37.11405,Hospital
Amaal Annex Nursing,Mandera,Mandera East,central,3.93705,41.85069,Hospital
Amagoro Nursing Home,Busia,Teso North,Amagoro,0.62761,34.33368,Hospital
Amaiga Dispensary (Manga),Nyamira,Manga,Kenyenya Market,0.4638,34.92974,Hospital
Amakuriat Dispensary,West Pokot,North Pokot,Makutano,2.27808,35.00542,Hospital
Amal Medical Clinic,Mandera,Mandera East,Mandera,3.93702,41.83541,Hospital
Amalya Medical Centre,Kiambu,Kikuyu,Gitaru,-1.23322,36.67059,Hospital
Amani Clinic,Nyeri,Mathira East,Karatina,-0.48204,37.1257,Hospital
Amani Clinic (Garissa),Garissa,Garissa, ,-0.45451,39.643,Hospital
Amani MC,Trans Nzoia,Trans Nzoia West,Within Kitale town,1.01365,35.00407,Hospital
Amani Medical Centre (Suneka),Kisii,Kisii South,Suneka  Town,-0.67886,34.70765,Hospital
